final_text,sentiment
product good sound quality battery stopped working daysread,1
everything good connectivity go one room another within rad losing connection except everything,0
wrost product quality bad cant udjest ear bud small un uncomfortable dont buy waste,1
really liked itread,0
great listen song poor mic recieving lot noise talkingread,1
superjust amazingread,0
excitingread,0
great sound quality battery backup good grip ear hence little tight allover great product worth thanks flipkart good packing dilevery,0
nice product put headset tym tightly attached ear get pain,1
best low priceread,0
bought product may sale cb phonepe overall really awesome product amazing look built quality awesome sound make music experience really amazing go highly wireless wired headphonesread,0
nice huge soundread,0
simply oouwsome product never used headset playing pubg really fantastic bass amazing hearing surrounding song good enter another world start hearing song battery buckup really nice company tell need charge hr playing hrsi charge half hour use hourssbut disadvantage little tight make pain ear position using regularly,0
primarily thank flipkart fast delivery think fastest mean delivery covid coming product quite good appearance fantastic sound prefer not take product using create discomfort u feel little irritating u cant use longer min tight uncomfortableread,1
bass opread,0
reality headphone look design backup much quality also pain ear doesnt mic doesnt day one side becomes connectivity good expected want good headphone long time dont buy want try bluetooth headphone may go want long term,0
mind blowing perch bought headphone colour awsome sound quality value moneyread,0
excellent product expected better want clear voice ok bass excellentread,0
nice product quite satisfied productread,1
using half hour hurt badly ear call thae voice broken not clear caller not soft ear not good call overall u buy product long time think twice not waste money buy another wired bluetooth headset ear read,1
super headsetread,0
superb extremely amazing sound awesome happy thankyou much flipkart disappointed late,0
one awesome headphone read,0
good product thanku flipkart love soundread,0
nice product sound quality extremely good fit tight headread,0
thing good head band no soo flexible break regular,1
mic not,1
using week foundpro build good bass average battery back excellent sound little light usual headphone get loose use ear pad not great quality little hard compared,0
bad product bluetooth doesnt work month not charging button not workingread,1
good product reasonable priceread,0
boat rockerz bass low also decent overall sound quality cancellation pretty properly working call talk little build quality great budget headphoneread,0
sound quality good microphone not working expected call low sound feedback apposite side need disconnect bluetooth every time receive,1
descent quality productread,0
start breaking one month not worth moneyread,1
wear long time actually not long time half hour ear start take nice product satisfied read,0
like boat device latest tech valueing brand earphone bass head boat feel buying bluetooth headphone could used wired wireless good delivery fast happy thanks,0
sturdy look gud quality material used bass also gud quality music output depends different mobile music profile cusion cup small hurt ear using long hr got r gud meafter day use gym found bluetooth connectivity poor cusion got wet completely ear got hurt,0
super happyyyyyy amazing read,0
superb productread,0
build quality not mark nice option r read,0
awesome,0
amazing awesome totally worth money loved iti bought first salary nd happy flipkart service nd,0
excellent base excellent sound build quality improved overall searching wireless headphone good base perfect product go itread,0
truly great bass like home really awesome looking say comment hurting hri said must buy youread,0
overall good read,0
hour head start bass awesome fit ear,0
best sound qualityread,0
awesome go itread,0
fan time mad boatread,0
bad sound,1
good music bass call uselessread,1
battery backup not well sound bass design cool read,0
month,1
sailing boatread,0
matterial quality not much good feel pain ear wear hr otherwise goodi bought,1
op headphone want nice bass noise cancellationread,0
best price range yes think best like flipkart service love flipkartread,0
cusion not much hr ear start painingread,1
good product price range amazing sound quality good long lasting use meeting call used constantly full day feel little pain ear used hour constantly fit head productread,1
every thing fine issue facing mic bit tough communicate,0
super hairead,0
built quality affect overall quality good tight one ear stress break easilyread,0
product mindblowing recommend thisread,0
perfect read,0
awesome sound quality battery backup amazing comfortable looking wise lovely productread,0
using min severe headache earpain start due,1
wow sound quality go itits amazing,0
excellent product thank flipkartread,0
headphone good simply amazing bass damn good vocal not filtered clear well good deal priceread,0
quality not goodread,1
good product bade niceread,0
music quality better headphone battery backup awesomeread,0
auesome,0
dont buy stop day replacement yet not comesread,1
good hearing music playing game mic not work properly well call problem micread,0
sound quality jabardast call not bcz like dj sound call music purpose good like djbatery like hour super batery life read,0
excellent nice battery backup bass good look also like,0
product nice deliver slow compare othersread,1
connective not good automatically disconnected every min automatically,1
nice product,0
button head phone not workingread,1
good feel tightread,0
good productbut design build goodread,0
super bass volumeread,0
sound amazing best headphone rangeread,0
bkwassss waste moneyread,1
ear paining not comfortable smooth build quality worst sound bass awesomeread,1
think best sound quality use calling thee sound no bass shrill voiceread,1
product worth full paisa vasooll liked muchread,0
speed delivery nice,0
nice design good product sounding nice wire wireless aux not connect dell laptopread,0
build quality not good cause pain ear use even volume half cant used long hoursread,1
rd boat headphone meand love handy nature rockrezvread,0
everything fine tight start hurting,1
little disappoint flipkart bcz time didnt sit well made promise delivery datei got r big billion day offer used product glad feel awesome superb product soul full sound,0
mic pickup voise call drastically lowread,1
badread,1
simple go price rangeread,0
product nice like filpkart delivery good delivery boy behavior niceread,0
everything good bt not comfortable wear min u feel u nt feel bt feelread,1
sound quality bass good material ear pain long time useread,1
great performanceread,0
nice love itread,0
dissatisfied hear one side purchased month,1
good product best medium budget nice productread,0
osm bluethoot headsetread,1
excellent product good sound quality nice light watei like work full work jack bluetooth talking headphone powerful,0
awesome product sound quality awesomesuperb bass battery back almost goodoverall boat rockerz mind blowing product build design quality superb love productsread,0
really good experience boat rockerz good quality sound bass imp thing headphone easily foldable nd easily pickup exercise gaming time really thnx boat company beautiful product nd wish u definitely make different headies best head keep guy one problem time face call time voice break nd not clear voice hear next everything good see u,0
value money mic not good otherwise overall product goodread,0
sound quality expected price also reasonable worth buying overall good product read,0
headphone good received call voice,0
flipkart delivery small city like bhopal indore customer support worsted not helpful worst experience one thing ok,1
great headset fantastic bass wireless capability good battery backup simply superb using call please avoid inbuilt mic bad expect not comfortable definitely make ear pain get much price problrm might not serious overall great,0
colour sound not goodread,1
amazing product boat lower pricei recieved within one half day ordering good packing flipcart also fast flipcartread,0
nice product like itread,0
best product buyread,0
excellent product paisa wasul bhairead,0
superread,0
awesome sound clearity itread,0
wow cool perfectly fit battery life amazingread,0
product quite good ive provided defective productread,1
mic not good speaking someone phone not getting sound otherwise product goodread,1
excellent service flipkart got replacement major issue working properly replaced new one write full review using month write flipkart providing excellent,0
awesome product read,0
one good headphone price segment sound quality amazing good bass vocal quality also good main thing battery life superbly amazing ill recommend product youre budget k r bang,0
pro powerful bass good move easy keep bagcons sound clarity not crisp brilliant bass high volume damage vocal heard cannot put half hour trust head feel,0
broken two month sound quality best use good,1
nice product button flipkart time,0
ear started hurting within min using sound quality not mark expected boat waste,1
awesome sound nice qualityread,0
nicesuper goodread,0
amazing producti loved read,0
omg dont buy seller gave crushed used product doesnt work bluetooth device switch batter pack,1
sound quality good instrument material,1
good headphone best budget headphone extra power base clear sound good bluetooth connectivity love itread,1
overall good product mic not good sound audible person sitting next meread,1
nice product pricethanks flipkart fastest deliveryread,0
light weight stylish good sound quality bass better good battery back connectivity low otherwise great,0
product good batter back,1
bought r big billion daysreceived within hr star flipkart superfast discounted product assumed box wid brokensealed openbut surprise received brand new box completely sealed good conditioni happy half time not case star packaging sending brand new sealed boxcoming product good ok not gr not bad,0
product good poor delivery service decided never place order flipkart not taking care customer,1
worth k price range good bassclear sound equalised midhighs bluetooth connectivityday using lenovo knote better audiooutputi loven itread,0
really much better even expected loved product read,0
disappointed built quality weak im afraid,1
overall sound quality build qualityread,0
nice wear hourread,0
minute ear start getting pain sound,1
best bluetooth headset price range totally worth buy amazing product thank flipkart delivering short period timeread,0
bass great tight getting ear pain using sometimesread,0
happy nice productread,0
love,0
good look sound quality not comfortable min everything else fineread,0
item not comfortable various type people buy item day used item feel pain minsread,1
get read,0
awesome sound awesome bass loved read,0
build quality good comfort level not good enough not amazing sound quality either good enough,1
super goodread,0
nice product love thisread,0
nice product reasonable price good travelingi love itread,0
sound quality average surprisingly good using bluetooth connection build bad part coz wearing min ear started hurting not mine thing happened family member tight squeeze ear lead pain youll realise minute ear hurting need open,1
item sound not good refund option not available plz dont go item totly wastage timeread,1
price best headphone everread,0
superb deal worth money bluetooth old techniquemeans limited must buy productread,0
product not comfortable headread,1
battery gdread,0
nice battery backup also goodread,0
product good wiring review year using still headset,0
used music looking call dont go itread,1
mic quality,1
excellent product reasonable price u buy beeter one read,1
one side sound not goodread,1
im ok design improve read,0
nice product good product happy bad varry niceread,0
amazing productread,0
best product sound goodread,0
super product nice bass sound best headset around costread,0
bluetooth connection poor ear started paining putting head due pressureread,1
everything fine bluetooth connectivity sony inch android tv not able connectread,1
fine workingread,0
head set sound really goodread,0
product awasome cant say product feature product goodread,0
audio clarity really badread,1
extreme itamazing,0
thanksread,0
thats fantasticread,0
mic not working taking call unfortunately tested return period ended hence put absolute waste money anyone looking using voice call please avoid mode blue tooth well using mm cable mic not working addition selling something absolutely faulty flipkart asking revisit comment even unacceptable,1
good quality super microphone not little uncomfortable using good headphone respect pricei got deal big saver day flipkartread,0
headphone awesome foam around ear hard not using headphone long timeread,1
osm product sound numberread,0
every thing ok mic problem caller cant hear ur voice,1
dont buy productthis not usefulread,1
comfortable long take beautiful world soundread,0
awesome happy seller good quality product read,0
better not best batteryread,1
awesome product nice packingread,0
bluetooth connectivity not good okread,0
love nobody beat boat headset sound awesome crystal clear using boat headset many year go without another,0
good love listening songsread,0
mic not working timeread,1
star becoz time someone call complain much background noise side disconnect headset hear loud clear may defective piece need visit boat gallery issueread,1
best headphone budgetread,0
really shocking awesome sound qualityunbeatable basslong lasting batterydual mode work mehave led indicator not mentioned feature listed abovehas micro usb port charge headsetwhich standard oneattractive price got conslittle tight ear got painful long usagei think beep sound maybe mecushions get detached usenot big problemconclusionin price range goodbest,0
product osm happy buy itread,0
honest review headphonessound quality best rangeit equalised mean treble come good bass headphonesit fit perfectly ear comfortablethe padding headphone top notch earcups headit come micro usb cable charge fast provide long battery lifeit also used aux cable using aux cable sound quality fall behind,0
nice product sound quality superbread,0
product good wish separate volume button may not seem like ear hurt great bass work good call far update,1
product excellentread,0
excellent qualityread,0
jst osm bluetooth connection not strong gaming read,0
product really good dont problem im using product last month still work exillentread,0
noise always ear pain using minread,1
much worth costread,0
bluetooth headset connectivity poor day headset not workingread,1
good choiceread,0
mic quality not good headphone really nice loved sound quality bass quality good noise cancellation mic better calling experienceread,0
well actually hated design bad hope comfortable earsread,1
sound quality satisfying build really poorread,1
great bass value moneyread,0
using bluetooth headset last month say one thing headphone not upto mark show sound quality headphone okay bass sound also okay type one major drawback headphone cant wear headphone continues minute started causing pain ear moreover headphone also not comfortable wear long timethe design headphone okay quality,1
mic not working window cable nothing,1
tight ear also earphone not working properly le month since bought not working,1
good using monthbattery back sound connect bt think different wired mean not good bt,0
one worst productread,1
mic quality read,1
awesome sound,0
connectivity issue jus irritatingread,1
dont buy headset stopped charging month onlyread,1
good giving static noiseread,0
adjustment problemread,1
sound qualityread,1
pain ear min tight,1
sound quality not bad use get headache ear,1
really good fit budget sound quality amazing bass goodread,0
pubg worst think product awasome pubg witch aux cable nd without aux cable used condition bt pubg sound surrounded cant find fire enemy suggest fr pubg worrst product nd music it oasssmread,1
best bass priceread,1
buy headphoneu know bluetooth many headphone price segment latest bluetooth keep remembering thatotherwise good headphoneread,1
wanted good headphone gym saw guy watched review video purchased finally sound brilliant great bass press against ear not threat sweat lot hasnt affected youre looking good headphone gym go ahead one dont use call much sound quite low nonetheless party hear,0
sound quality good cannot use long,1
not good packaging still satisfied product worth money liked muchyou guy go itread,0
mony lossread,1
superb thats amazing productsi love,0
nice product go itread,0
say said earlier flipkarts post sale customer service degrading day become horrible got item delivered pm although sm sent flipkart said delivered pm called flipkart wish master god know mean wish master fk took exact day deliver product one star fact got delivery least day dinner time promised coming headphone,1
hard keep ear least minute not comfortable keepingonger,1
range headphone not metresread,1
goood item really like itread,0
worst sounding headphone like music even little favour dont buy thisread,1
product cool sexy cushning not much goodbass quality sound grtover nice product,0
awesome sound quality bass everything good not excellent price range best bluetooth best thing got r big billion,0
extremely uncomfortable ear muff small press against ear start hurting minute usage wanted returned flipkarts called policy doesnt allow dont go trust,1
nice product truatable brand boat battery quality phenominal bass decent audio also average worth buy ho itread,0
average productread,1
superv base quality amazing productsread,1
average prefer india brand may made china enough listen music,0
good product really love thisread,0
bluetooth connectivity bad dont buy sound quality excellentread,1
tight pain earsread,1
one month use one side speaker not work dont go headsetread,1
honestly saying guy amazing dont see reviewssound bass quality amazing youll love itvery great product also use daily regular basis battery backup much efficient dont need use mp cablei use blutooth also charge full within hourvery satisfied itread,0
better nice lookread,0
nice battery backup sound quality good worth money comfortable fit mic not upto level good music loversread,0
ossam productread,0
pain use biggest drawback called party not hear properly buy cheap product hate,1
connecting issue songread,1
excellent,0
not good not badread,1
review using monthsprossound playback really nice useful playing music attending look niceconsthe microphone not work well produce low built quality unsatisfactory plastic build stress month time justs snap two wire headband keep getting,1
sound quality good bt head band quality poor month head band getting,1
good product boat rockertz bought r cashback offer sound quality battery backup ok testing month battery last average hour listen music office commute weekend last week average hour battery backup sound quality improved smaller note classical instrumental not sound premium not recommended music enthusiast also build quality bit bad start paining,0
pro good quality material used handle day use easily good quality sound bass ok con range low connectivity problem crowded place like bustrain best price range read,0
must buyeverything awesomebut dont know connectivity start disconnecting go yard away outside room phone open place working,0
poor bluetooth range poor micread,1
good bassread,0
marvellous good,0
superb read,0
day use bluetooth connectivity not working also complaint boat customer,1
best quality headphone value moneyread,0
quite time since using prime point great bass sound per price nice build quality problem putting long period time make feel uncomfortable becouse tightness ear highly recommendedread,0
volume bass unbelievableread,0
good quality sound overall nice product buyread,0
built quality base colour excellent foam material hold ear made quality product one adjust soeakers various direction aux cable charger cable provided box use aux cable enjoy music not available bluetooth option opted black red model amazing go may get within sale,0
headphone quality super base panchi clear sound love quality headphone bluetooth connectivity also good charging time also le charge hour better sound better qualityread,0
good,0
bought second time good bass month audio jack socket got damaged not first second time problem dont suggest wasting money thisread,1
useless productread,1
buy maximum r purchased,0
product best term sound quality change pitch clearly headphone cant kept ear long give stress ear eventually regular light use product besti recommend buy,0
nice good qualityread,0
bad product dispoin itread,1
super quality price moneyread,0
cushion not comfortableand buttuns not working aux not recommendedread,1
one best beginning ear start getting hurtsound quality not good start use sound quality improves problem cant talk,0
sound good bass not perfectread,1
good sound quality kindly improve making material added elasticness super bass full paisa vasulread,0
awesome headset sound crisp design build quality price range also bass little bit higher headset also loud even person sitting front u listen music battery backup excellent satisfied,0
good regarding sound little bit lag battery back upread,0
colour become dirty daysread,1
good sound quality good product easy connect bluetooth prefer buy,0
nice sound compact light weight headphone not satisfied phone call sound not clear side taken care,0
yes good provides good bass student giving icse board exam holy angel school rajpuraread,0
stopped working monthsread,1
superb sound build quality value moneyread,0
sound quality gudread,0
calling receiver cant hear sayingi thaught mic issue something like going replacement send another product also show connecting aux cable better not clear u r buying calling purpose k wont recomend music movie sound qualityon single charge u get approximate hr battary buy,1
item heavy weightread,1
bluetooth range not good say meter maximum without disturbance even human considered obstacleread,1
con creates prickly sound time song movie call audio annoying thing,0
loved productread,0
fabulous awesome amazing mindblowing rockstar,0
best headphone extra bassread,0
call connectivity poorread,1
advantage value money awesome design nice built quality clear sound quality battery backuphrs nice packing disadvantage not long time usage ear pain conclusion go love thisread,0
amazing not,0
best music bass loversread,0
used headphone month band break band quality low better u buy good quality headphone till month run really fantastic disappointed band quality u go headphone better bluetooth version also,1
worst quality one side isnt workingread,1
really like sound like design like battery backup good product no wastage,0
product good delivery bad reasive product daysread,0
audio quality not mentionedcalling much disturbance time callingcomfort much ear irritation pain wearing minread,1
headphone amazing good build quality design one thing noticed soon started using sound compared jbl headphone poor good sound jbl headphone much better headphone clear amazing sound quality way better,0
product good using sometime ear started paining drawback device else goodread,1
varry goodread,0
nice lookread,0
using monthi ordered day sale perplexed output pleasing soothing ear bass good compared price conectivity good old phone n phone bluetooth suck work robustly against computer bluetooth n new age smartphones battery backup quite good last upto hr n aftr signal might get little distorted min charge cn last houri,0
excellent bass great sound easy connectivity solid design little bit uncomfortable got good quality long aux charging cabke got must buy price also boat great,0
nice product worth designe,0
awesomenessread,0
good music not callsread,1
nice quality shipping lateread,0
really happy product amazing sound quality looking cool also got rsread,0
sound headphone really nice especailly base mic headphone doesnt work also ear cup uncomfortable tight cant wear min start paining ear flipkart also not solve problem suffer lot exchange product flipkart also dont provide return money product bad experience buying headphone flipkart,1
good someone like soft anf sweet,0
using product since month deliberately chose review late wanted see battery backup consistency damn good cant say best market term battery backup rounder used jogging sleeping even washroom one thing bugged bluetooth range reasonable could,0
good product got time great speaker super bass full,0
sound quality good battery last nearly hour microphone creates noise call per opinion not good calling rest feature,0
dont buy headset product satisfy two three day atfter word waste better canbuy product like leaf neck band k worth moneyread,1
sound quality not good calling person side always complains voice slowi disappointed bought,1
trendy productread,0
tight high ear pain using bluetooth getting metresread,1
nyz superb bass awsmeread,0
dirted wherefast sound quality goodread,0
calling problemread,1
love flipkart started purchase flipkart still not disappointed buying product good excellent condition happy buy product flipkart want buy different product flipkart love flipkartread,0
sound clarity nice awesame good qwaliti wow superread,0
ha wired connectivity not much,0
device broked quality bodyread,1
awesome product fast service flip kart bbd time,0
super high bass must go one best range got headphone flipkart sale offer best headphone k super bass highly comfortable,0
nice good sound quality fast delivery im happy boughtread,0
excellent sound,0
super product worth moneread,0
build quality not goodread,1
two day one side not workingread,1
automatically disconnected issueread,1
awesome prodect got boat company good providing good durable,0
superb product happy good bass good sound baterry backup okread,0
nice productlove itvalue moneyread,0
time automatically disconnect sound properly not came someone call,1
nice product love use dailyread,0
good product price kread,1
poor qualityread,1
good product full paisa wasool read,0
highly recommend quality made got super reasonable price delivered well,0
good looking not proper connected bluetoothread,1
worst head phone month left side not working dont prefer buy,1
nice product read,0
paid headphn packing worstpacking look like bought fruit lost many timesound quite good buy thia sale time adequate one guy think u buy flipkrat pls solve worst packing,0
allis good range problem doesnt work,1
much using minute ear much,1
op superbread,0
review using sound quality not best sound price point im audiophile music producer ive tried lot headphone sound bit muffled low frequency boosted better base mid boosted little voice part loud higher frequency low unless use equilizer might not get best experience mic also average capturing strength isnt great might shout talking,1
dont buy ear pain lot hrread,1
overall product good however mic problem always great lot distribution talking othersread,1
product quality good fully satisfied product thnx flipcartread,0
ear not comfortable long,1
got headset replaced still got faulty not even replying complains raised online no way talk someone issue u keep writing message age show issue unresolvedread,1
love boatread,0
love itsuperb bass sound quality much good build quality expect happy product thanks flipkartlove itsaketread,0
like read,0
amazingread,0
sound quality bass pretty good price feel bit discomfort wearing longer period sopeople big head ear please dont buy thisthis product actually perfect small headsize earread,0
fabulous productsread,0
move walk sound effect breaking okeyread,1
honest review boat rockerz product really awesome u buy headphone playing gamessongs battery life hour charging time hour also extra bass not problem really awesomeread,0
best priceread,0
microphone not good,0
true goooood smooth soft sound quality xtra bass recomended musician good built quality light use headphone aux cable better experienceread,0
nice bass sound qualityread,0
quality really good stylish stunning quality really thing notice sponge pad little bit hardy otherwise awesome dont hasited go,0
give real theatheric effect play marvel movie literally give best thrill little sweat feel nearby ear good product,0
product come wireless headset usb cable charging also standard two end male pin case want go notebook clear point product good using couple day worked well bass best literally feel bluetooth pairing seamless android window may encounter problem using window range mobile headset good,0
long time use good,0
giving star not comfortable ear minute use may ear start paining not good online class sound good bass microphone also good person hear clearly,1
good quality,0
sound quality awesome expected boat bass good build not good tight overall good product price rangeread,0
superb astonishing product prettyread,0
sound quality awesome month headphone becomes fragile break piece also warranty not include physical,1
received rd packaging good time deliveryi using headphone around going good till balanced soundbass good amount bass many u like initially feel bass not mark later used poweramp music player magically quality,0
headphone awesome beautiful bass mic average wish support external mic sound awesome hdbut company want add good quality micread,0
nice headphone read,0
yaar cant believe good received delivery hour performance excellentit passive noice cancellation block many noice wear wuile studying amazing definitely buy itread,0
great experience boat read,0
awsome headphone work fine everything phone pc laptop tap wired wireless personally recommend every one use productread,0
not bad read,1
really disappointed quality sound bass battery good ear pod not quality use month came kindly dont go lover boat earphone disappointed modelread,1
light weight comfortable design good cool price love lottt read,0
sound quality good material breakableread,1
super awesome ameazingread,0
gud productbut not nice long time useread,1
useless waste money waste time poor sound quality poor negligible microphone quality dont recommend dont,1
sound quality good price range hbrs backup nice featuresread,0
good bass worth fair amount bass fell comfortable,0
sound great moderate bass moderate battery back like problem sometimes connectivity get u hv mobile pocket u cant walk listen song properly bcz lot sound disturbance connectivity failure also tight ear first day later adjust great product low,0
tight,1
not comfortable earread,1
good problem power bottom month usingread,1
awesome product positively suggest sound quality fabulous look rockedread,0
good headphone must buyread,0
superb music pubgread,0
not work properly wireless modefound disterbance movingread,1
buy r price really good product using hr continuously somewhat give pain ear sound quality goodread,0
best product read,0
nyc product read,0
super quality worth,0
headphone not comfortable cloth ear pad hard sound burst cant used taking callsread,1
got worth itgood battery life good sound bass bought third product boati really love boatread,0
okey okeyread,1
sound quality bass awsome product fit tight ear cant bear headset hrread,0
sound quality nice love headphone light wightso thats wear full dayread,0
good sound quality specially game like pubgcall dutyand others game clear soundread,0
headphone not comfortable long use min ear start painning much im using month headphone not goodread,1
good bluetooth headset sound superb first thanks flipkart delivery within day point device connects window bluetooth device also issue existing bluetooth device connects android io device range meter wall inbetween mm wired connection option speaker not mic drawback mic work thru bluetooth,0
good sound quality battery backupread,0
good producti happy read,0
headphone okread,1
gud song tight head no flexibility tight loose not good calling voice break hearing also breakread,1
using two week working well till,0
ok listen song mic le volumeread,1
fantastic hvy bass fabulous sound qualityread,0
brilliant productread,0
hello friendsi bought product using two day say sound great bass also well returned product due cause unpredictable listening song sound cutting every song lyric changing lyric also beeping frustrated product may waste moneyread,1
osm productsread,0
good headphone price range read,0
great productread,0
wow bass loved thank flipkart worth price mast buyread,0
wonderful head phone amezing sound coming everything perfect read,0
bass hurt ear min,1
nice sound quality thanks flipkartread,0
much pain ear dont buy boat read,1
perfect sound quality better base stunning duaribility outstanding productread,0
look fine phone call not clear not clear led tvread,1
mike not workingread,1
faced connectivity speaker,1
wasteread,1
month left side speaker stopped working cushion little bit hard except everything,1
good enjoyread,0
nice product sound quality goodread,0
awesome headphone hd soundi got headphone flipkart sale rupee,0
stunning product look phenomenal compatible head come topnotch quality reasonable price,0
good product price good sound quality alond deep bass build also,0
aux cable average overall average product read,1
high bass awesome sound quality best design build goodread,0
must byread,0
sound good decent bass good battery backup got special price r worth money noice cancellation bad others cannot hear u noicy place traveling overall good product price rangeread,0
sound quality awesome mi phone u need third party equalizer boost bass make sound proper overall product not good ok compromise price range got headphone u feel review helpful give likeread,0
good product not adjustable properlyread,1
good product cannot ware timeread,0
not badread,1
light weight sound quality,1
soundread,0
awesome sound good battery backupread,0
good paining ear smooth ear compatibility although sound bass quality better product,0
not recommend product anyone sound quality connectivity patheticread,1
dont expect much bassread,0
go,0
best one cool feature cable connection option handy device run voice guidance another cool blindly go got everything need worth every penny paid sound also best class spending hour sure wont finding better price,0
nice product every one buy,0
give reviw month using awesome working nd good condition yet best use gaming movie song high loud quality betty backup good feel hour work give star cause u feel disappoint callingread,0
not goodread,1
awesome bass recommended everyone buy bass good battery backup awesome finally sound clearread,0
amazing experienceread,0
battery backup could betterread,0
product seems defective call create noise disturbance disconnected bluetooth connection bad device not happyread,1
good product bassread,1
good price r read,1
disadvantage hear music outside goodread,0
using bluetooth mode receiving signal noise continuously irritating use using wire fine shot bluetooth,1
one best experience listening recommend need good headphone budget go,0
according nice product liked colour design sound best thing liked battery backup used day without charging still okay except fm sound quality fm sound not clear moreover wireless range phone low claim range dont find claim right also little bit tight ear comfortable headi liked cushioningoverall good buy,0
vera leval sound theatre quality bluetooth mobile not connectedread,1
product good price igot offer made comfortable car cub smaller want tell sound quality good worthful bass superb nd package rhis headphone good praiseable flipkart shpment hub student want buy right decision buy anyone want comfort dont buy design good bot not comfortable nice gave full,0
nice product great product sound quality best colour goodread,0
headphone amazing see picturesthe packaging badread,1
headphone good connectivity not good sound breaking many timesread,1
sound bass excellentread,0
dont get deceived boat brand name worst product even dont play music video keep hearing sound headset percent time even play something dont hear sound headset switch bluetooth turn work sometimes randomly hear high intensity noise headset disturbed meeting lot timesinitially thought problem laptop faced,1
sound good no brand provide sound price range bluetooth connectivity bad not comfortable give starread,1
okk look nice push ear moreread,1
good product job star rating since there no flexibility head strap make little bit irritating hr continuous usage overall product goodread,0
using headphone review nutshellpros superb bass sterdy built range not good also not comfortable use headphone ear start sweating minute cant use jogging gym since not waterproof sweat proof overall price range u cant expect,1
best quality price paid initially supplied defective piece without accessory user manual returned assist flipkart customer executive placed order happy,0
boat rockerz headphone bad cheap bluetooth not working properly sound quality niceread,1
really good product must buy highly quality superb overall really good product price thanks boat teamread,0
overall product one side bass not working,1
mic not working laptopread,1
mic bed sound quality goodread,1
great budget go itcons feel little bit heavy using minute le hour high noise connecting call bluetooth no noise wireread,0
great wireless weird use bass great work good device battery backup also goodfor max sound gave hr,0
sound quality good performance not goodread,1
writing review month use highly recommendable price point sound quality good cushion good last loved,0
brother love musician n love make sense buy worth money spentread,0
mast sound best product stylish headphoneread,0
nice product excellent delivery facility flipkartread,0
interesting heavy soundsits goodread,0
worst sound ever heardread,1
microphone not efficientread,1
super soundbut pain fullbut superread,0
good product battery backup build good product bass,0
damagedread,1
ultimate productread,0
headphone good connectivity good used smart tv,0
okay use music not good audio call poor noise cancellation absorbs almost every single sound,1
got product r sound quality super good noise cancellation tide ear moral comparing headphone r good optionread,0
sound quality awesome fitting delivery awesome flipcart two flipcartread,0
good work perfectlyfacing outer ear pain using long time battery backup good still er use via aux battery perfect day use value moneyread,0
bass excellent sound quality goodread,0
nice sound quality bass also like one star flipkarts quick easy service wish best,0
good sound effectread,1
boat best quality,0
product best sound quality averagesread,0
go itread,0
ear bud size small adult one not listen voice calling specially busread,1
baat headphone really waste money not work properly one side right left making fool u selling product request tht dont go product spite know issue really expressed experience faced,1
nyc productsread,0
product good started showing problem cannot use way good please decrease sentivity need handle,0
ok not satisfiedread,1
awesome sound quality great bass good greatest flaw design appears good attractive problem cannot keep head long rigid ear like constant pressure ear feel like removing within minute reason designed way cannot adjust headset top ear leaf no room relaxation ear even look design completely deep arc,1
nice good quality sound battery backupread,0
great product boat liked good sound quality decent bass better,0
order son loved much boat head flipcartread,0
aux cable poorread,1
good oneread,0
onr side stopped workingread,1
fabulous no word say thisread,0
awesome sound quality read,0
sound quality good built quality worst causing lot pain around ear uncomfortable headphone ever,1
design amazing bass durable uncomparable soundread,0
everything good except microphone quality u need another pair earphone read,1
not confuse order,0
nice oneread,0
best audio bass review using two year build quality not strong upper head piece broken long term use best whooping bass feel little bit tight head time widen head size bought big billion sale rupee blindly go read,0
bestread,0
good bass good sound good mic problem call best product pr price happyread,0
many review tell pro product beleive worth money product there butits awefully painful wear even minutesi writing review frustration cant enjoy use fulfillment remove ease ear arch made plastic seems break easily stretched much leather padding stuck would peel no,0
bad quality headphone stop working daysread,1
sound quality good cant wear long time ear start hurting min usageread,1
rate product according price got price th best available bluetooth headphone tha marketi using month still battery backup like hour full volume audio quality awesome price range descent low mids perfectly equalised high yes perfectly fit no,0
skeptical buying headphone wonder mean must buy headphone budget low no headphone give satisfaction music boat rockerz headphone price purchased r get deal dont think enough buy,0
great value moneyread,0
little bit okread,1
good headphone rps prosexellent basssound qualityaffordable headphone ear long term usage lasta good buy,0
mic problemread,1
good product good conectivity good sound good battery backup using three day problem reagarding fit painful wear fifteen minute think every rather go ear headphone trust headphone not comfortableread,1
expected bestread,0
sound quality suparb awesome be love itread,0
nice come sound come comfort wearing headphone battery,1
no doubt awesome not hard core gaming u play sound got delay u trust company n really liked take u dont budget take another one dont get upset put ox cable play work correctly ur,0
good quality good price value moneyread,0
looking good not comfortable set ear becomes heat use min hurting bass not good sound quality also not goodread,0
satisfiedread,0
good sound quality poorbattery backup lowread,0
review mounth use experiense superb base sound quality mind blowing mid tone movie low volume not goodread,0
getting ear pain using long hour,1
blootooth connection not wellread,1
supb productread,0
bass good listening music super make call person not hear well not suitable calling read,1
almost year using main problem leather ear cushion damaged started tore month aux cable wired connection always getteing damaged reaplaced aux cable time year cost r great would also recommend stretching first time tight first month one month losen,1
not great sound expected fine price tight ear could not feel comfortable longer useread,1
nice bluetooth hi read,0
nice base voice not satisfiedread,0
awsm read,0
